"","species","island","body_mass_g"
"1","Adelie","Torgersen",3750
"2","Adelie","Torgersen",3800
"3","Adelie","Torgersen",3250
"4","Adelie","Torgersen",3450
"5","Adelie","Torgersen",3650
"6","Adelie","Torgersen",3625
"7","Adelie","Torgersen",4675
"8","Adelie","Torgersen",3475
"9","Adelie","Torgersen",4250
"10","Adelie","Torgersen",3300
"11","Adelie","Torgersen",3700
"12","Adelie","Torgersen",3200
"13","Adelie","Torgersen",3800
"14","Adelie","Torgersen",4400
"15","Adelie","Torgersen",3700
"16","Adelie","Torgersen",3450
"17","Adelie","Torgersen",4500
"18","Adelie","Torgersen",3325
"19","Adelie","Torgersen",4200
"20","Adelie","Biscoe",3400
"21","Adelie","Biscoe",3600
"22","Adelie","Biscoe",3800
"23","Adelie","Biscoe",3950
"24","Adelie","Biscoe",3800
"25","Adelie","Biscoe",3800
"26","Adelie","Biscoe",3550
"27","Adelie","Biscoe",3200
"28","Adelie","Biscoe",3150
"29","Adelie","Biscoe",3950
"30","Adelie","Dream",3250
"31","Adelie","Dream",3900
"32","Adelie","Dream",3300
"33","Adelie","Dream",3900
"34","Adelie","Dream",3325
"35","Adelie","Dream",4150
"36","Adelie","Dream",3950
"37","Adelie","Dream",3550
"38","Adelie","Dream",3300
"39","Adelie","Dream",4650
"40","Adelie","Dream",3150
"41","Adelie","Dream",3900
"42","Adelie","Dream",3100
"43","Adelie","Dream",4400
"44","Adelie","Dream",3000
"45","Adelie","Dream",4600
"46","Adelie","Dream",3425
"47","Adelie","Dream",2975
"48","Adelie","Dream",3450
"49","Adelie","Dream",4150
"50","Adelie","Biscoe",3500
"51","Adelie","Biscoe",4300
"52","Adelie","Biscoe",3450
"53","Adelie","Biscoe",4050
"54","Adelie","Biscoe",2900
"55","Adelie","Biscoe",3700
"56","Adelie","Biscoe",3550
"57","Adelie","Biscoe",3800
"58","Adelie","Biscoe",2850
"59","Adelie","Biscoe",3750
"60","Adelie","Biscoe",3150
"61","Adelie","Biscoe",4400
"62","Adelie","Biscoe",3600
"63","Adelie","Biscoe",4050
"64","Adelie","Biscoe",2850
"65","Adelie","Biscoe",3950
"66","Adelie","Biscoe",3350
"67","Adelie","Biscoe",4100
"68","Adelie","Torgersen",3050
"69","Adelie","Torgersen",4450
"70","Adelie","Torgersen",3600
"71","Adelie","Torgersen",3900
"72","Adelie","Torgersen",3550
"73","Adelie","Torgersen",4150
"74","Adelie","Torgersen",3700
"75","Adelie","Torgersen",4250
"76","Adelie","Torgersen",3700
"77","Adelie","Torgersen",3900
"78","Adelie","Torgersen",3550
"79","Adelie","Torgersen",4000
"80","Adelie","Torgersen",3200
"81","Adelie","Torgersen",4700
"82","Adelie","Torgersen",3800
"83","Adelie","Torgersen",4200
"84","Adelie","Dream",3350
"85","Adelie","Dream",3550
"86","Adelie","Dream",3800
"87","Adelie","Dream",3500
"88","Adelie","Dream",3950
"89","Adelie","Dream",3600
"90","Adelie","Dream",3550
"91","Adelie","Dream",4300
"92","Adelie","Dream",3400
"93","Adelie","Dream",4450
"94","Adelie","Dream",3300
"95","Adelie","Dream",4300
"96","Adelie","Dream",3700
"97","Adelie","Dream",4350
"98","Adelie","Dream",2900
"99","Adelie","Dream",4100
"100","Adelie","Biscoe",3725
"101","Adelie","Biscoe",4725
"102","Adelie","Biscoe",3075
"103","Adelie","Biscoe",4250
"104","Adelie","Biscoe",2925
"105","Adelie","Biscoe",3550
"106","Adelie","Biscoe",3750
"107","Adelie","Biscoe",3900
"108","Adelie","Biscoe",3175
"109","Adelie","Biscoe",4775
"110","Adelie","Biscoe",3825
"111","Adelie","Biscoe",4600
"112","Adelie","Biscoe",3200
"113","Adelie","Biscoe",4275
"114","Adelie","Biscoe",3900
"115","Adelie","Biscoe",4075
"116","Adelie","Torgersen",2900
"117","Adelie","Torgersen",3775
"118","Adelie","Torgersen",3350
"119","Adelie","Torgersen",3325
"120","Adelie","Torgersen",3150
"121","Adelie","Torgersen",3500
"122","Adelie","Torgersen",3450
"123","Adelie","Torgersen",3875
"124","Adelie","Torgersen",3050
"125","Adelie","Torgersen",4000
"126","Adelie","Torgersen",3275
"127","Adelie","Torgersen",4300
"128","Adelie","Torgersen",3050
"129","Adelie","Torgersen",4000
"130","Adelie","Torgersen",3325
"131","Adelie","Torgersen",3500
"132","Adelie","Dream",3500
"133","Adelie","Dream",4475
"134","Adelie","Dream",3425
"135","Adelie","Dream",3900
"136","Adelie","Dream",3175
"137","Adelie","Dream",3975
"138","Adelie","Dream",3400
"139","Adelie","Dream",4250
"140","Adelie","Dream",3400
"141","Adelie","Dream",3475
"142","Adelie","Dream",3050
"143","Adelie","Dream",3725
"144","Adelie","Dream",3000
"145","Adelie","Dream",3650
"146","Adelie","Dream",4250
"147","Adelie","Dream",3475
"148","Adelie","Dream",3450
"149","Adelie","Dream",3750
"150","Adelie","Dream",3700
"151","Adelie","Dream",4000
